# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I A-L2,0.0000,A,0.00,50.000,end A,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I A-L3,0.0000,A,0.00,50.000,end A,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I B-L1,0.0000,A,0.00,50.000,end B,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I B-L2,0.0000,A,0.00,50.000,end B,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I B-L3,0.0000,A,0.00,50.000,end B,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I A-L1,0.0850,A,0.00,50.000,end A,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I A-L2,0.0000,A,0.00,50.000,end A,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I A-L3,0.0000,A,0.00,50.000,end A,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I B-L1,0.0000,A,0.00,50.000,end B,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I B-L2,0.0000,A,0.00,50.000,end B,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,2,Threshold — below,,,,,I B-L3,0.0000,A,0.00,50.000,end B,RESTRAIN,No operation,no,
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I A-L1,4.0000,A,0.00,50.000,end A,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I A-L2,0.0000,A,0.00,50.000,end A,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I A-L3,0.0000,A,0.00,50.000,end A,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I B-L1,4.0000,A,180.00,50.000,end B,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I B-L2,0.0000,A,0.00,50.000,end B,RESTRAIN,Zero residual differential,no,both ends
87N,Ground differential,Differential,Quick CMC,points,3,Through-current stability,,,,,I B-L3,0.0000,A,0.00,50.000,end B,RESTRAIN,Zero residual differential,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,V L1,57.735,V,0.00,50.000,,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,V L2,57.735,V,-120.00,50.000,,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,V L3,57.735,V,120.00,50.000,,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I A-L1,1.0000,A,0.00,50.000,end A,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I A-L2,1.0000,A,-120.00,50.000,end A,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I A-L3,1.0000,A,120.00,50.000,end A,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I B-L1,0.9583,A,180.00,50.000,end B,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I B-L2,0.9583,A,60.00,50.000,end B,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,1,Standing differential at nominal voltage,,,,,I B-L3,0.9583,A,-60.00,50.000,end B,NO ALARM,Compensation should reduce it to under 0.0083 pu,no,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,V L1,57.735,V,0.00,50.000,,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,V L2,57.735,V,-120.00,50.000,,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,V L3,57.735,V,120.00,50.000,,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I A-L1,1.0000,A,0.00,50.000,end A,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I A-L2,1.0000,A,-120.00,50.000,end A,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I A-L3,1.0000,A,120.00,50.000,end A,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I B-L1,0.9167,A,180.00,50.000,end B,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I B-L2,0.9167,A,60.00,50.000,end B,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,2,Over-compensation check,,,,,I B-L3,0.9167,A,-60.00,50.000,end B,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",wn,both ends
Ich,Charging current compensation,Differential,Quick CMC,points,3,True through current,,,,,V L1,57.735,V,0.00,50.000,,NO DIFFERENTIAL,This is the reference the other two points are measured against,no,both ends
